,id,name,city,state,zip,rating,review_count,latitude,longitude,categories,url
0,yxFpcrRKbQbDt2Pv27tv6g,Removery Tattoo Removal & Fading,New York,NY,10010,4.5,139,40.7404399,-73.9914,Tattoo Removal,https://www.yelp.com/biz/removery-tattoo-removal-and-fading-new-york-3?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
1,4JdjqgXw3qHU9RCHtsqnmg,Erase Spa,New York,NY,10001,4.7,349,40.748439,-73.992845,"Laser Hair Removal, Tattoo Removal, Skin Care",https://www.yelp.com/biz/erase-spa-new-york?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
2,lgO12hQxlVdP5hcat7ESfw,Inkless Tattoo Removal,New York,NY,10013,5.0,1,40.72079,-74.00172,Tattoo Removal,https://www.yelp.com/biz/inkless-tattoo-removal-new-york?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
3,uerZllECGvGj8Rq4wVfZnQ,Bared Monkey Laser Spa,New York,NY,10001,4.8,518,40.747771,-73.987415,"Laser Hair Removal, Body Contouring, Skin Care",https://www.yelp.com/biz/bared-monkey-laser-spa-new-york-6?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
4,lPYLNLiGRkRqUdEzmmjK0A,Bye Bye Ink,Middle Village,NY,11379,4.4,75,40.713174,-73.876801,"Tattoo Removal, Laser Hair Removal, Permanent Makeup",https://www.yelp.com/biz/bye-bye-ink-middle-village?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
5,MAKJdvTQXzZ_U4w6qeYgvA,LaserAway,New York,NY,10013,4.3,191,40.71655,-74.007858,"Tattoo Removal, Laser Hair Removal, Medical Spas",https://www.yelp.com/biz/laseraway-new-york-10?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
6,08aiEQQt5P_9dike5WMiig,NAAMA Studios Laser Tattoo Removal NYC,New York,NY,10011,5.0,1,40.738752,-73.992915,Tattoo Removal,https://www.yelp.com/biz/naama-studios-laser-tattoo-removal-nyc-new-york?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
7,N1-4n71PpTzusVOip9IqfQ,Removery Tattoo Removal & Fading,Brooklyn,NY,11217,4.3,16,40.68528349,-73.98005019,Tattoo Removal,https://www.yelp.com/biz/removery-tattoo-removal-and-fading-brooklyn?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
8,BKNV-2oCpKQX9L0-LfCHjw,DISAPPEARING inc,New York,NY,10001,4.6,14,40.747462,-73.991465,Tattoo Removal,https://www.yelp.com/biz/disappearing-inc-new-york?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
9,ntNe0M1G3QMo85rOL99Sfw,LaserAway,Brooklyn,NY,11201,4.2,227,40.69009,-73.99233,"Medical Spas, Laser Hair Removal, Tattoo Removal",https://www.yelp.com/biz/laseraway-brooklyn-3?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
10,P1X8Ke1L2lxTB9b6S0wymQ,Infinity Laser Spa,New York,NY,10001,4.3,547,40.74751984760118,-73.98911947218873,"Skin Care, Laser Hair Removal, Tattoo Removal",https://www.yelp.com/biz/infinity-laser-spa-new-york?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
11,UX7fM-cA64VjKY2Qd_a-YQ,Studio Esthetique Skin & Laser Center,New York,NY,10038,5.0,7,40.70944,-74.01012,"Medical Spas, Skin Care, Tattoo Removal",https://www.yelp.com/biz/studio-esthetique-skin-and-laser-center-new-york?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
12,_lAU0Gj-i3tVxgQB8QhoRg,LaserAway,Manhattan,NY,10003,3.8,311,40.738319,-73.988984,"Medical Spas, Laser Hair Removal, Tattoo Removal",https://www.yelp.com/biz/laseraway-manhattan-2?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
13,ZOL31YCDLuByZFUtwCRakA,Skin Design Tattoo - Brooklyn,Brooklyn,NY,11211,4.8,32,40.716176417546485,-73.95683171779125,"Tattoo, Tattoo Removal",https://www.yelp.com/biz/skin-design-tattoo-brooklyn-brooklyn?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
14,qu6W92F98jhd4T8PduBmmg,LaserAway,Brooklyn,NY,11249,4.4,22,40.71741,-73.96128,"Tattoo Removal, Medical Spas, Laser Hair Removal",https://www.yelp.com/biz/laseraway-brooklyn-4?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
15,jJXToODKxa4BuLyEOacNHA,StudioMD,Brooklyn,NY,11201,4.1,35,40.69294,-73.99097,"Laser Hair Removal, Tattoo Removal, Medical Spas",https://www.yelp.com/biz/studiomd-brooklyn?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
16,dp7QZUTbbR8NmFXOGB7g_A,TQ spa plus,New York,NY,10010,3.5,80,40.7450654192284,-73.9897186915405,"Day Spas, Permanent Makeup, Tattoo Removal",https://www.yelp.com/biz/tq-spa-plus-new-york?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
17,ZlXus9vxNLhFHP5u1IqW6Q,The Dermatology and Laser Group,New York,NY,10022,4.0,66,40.763102481396935,-73.96885547055241,"Dermatologists, Cosmetic Surgeons, Tattoo Removal",https://www.yelp.com/biz/the-dermatology-and-laser-group-new-york?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
18,pk4q1yuf_0k0lNzIZmbW5w,Smooth,Brooklyn,NY,11206,4.4,71,40.70703,-73.95349,"Hair Removal, Skin Care, Tattoo Removal",https://www.yelp.com/biz/smooth-brooklyn?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
19,qbGx4VYC8UtNNw2yWC4n0w,StudioMD,New York,NY,10012,3.6,203,40.72416,-74.00154,"Laser Hair Removal, Medical Spas, Tattoo Removal",https://www.yelp.com/biz/studiomd-new-york-2?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
20,qe9sF5G3lh5TvVQBwSQ6GA,LaserAway,New York,NY,10023,4.1,200,40.77493642932797,-73.98404824917006,"Tattoo Removal, Laser Hair Removal, Medical Spas",https://www.yelp.com/biz/laseraway-new-york-9?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
21,ifiMdZmc8SBEM0QdFleq4w,Vada Spa and Laser Center,New York,NY,10011,3.3,891,40.7332060133144,-74.0002369880676,"Day Spas, Hair Removal, Tattoo Removal",https://www.yelp.com/biz/vada-spa-and-laser-center-new-york-2?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
22,8C61Ua5SaJyvlvqhtwGrYw,LaserAway,New York,NY,10021,4.4,208,40.7704224,-73.9569742,"Laser Hair Removal, Tattoo Removal, Medical Spas",https://www.yelp.com/biz/laseraway-new-york-11?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
23,Amg9C7JGi_yqNIHfnQkCwA,First Class Cosmetics,New York,NY,10002,5.0,13,40.72059,-73.988734,"Tattoo Removal, Permanent Makeup, Body Contouring",https://www.yelp.com/biz/first-class-cosmetics-new-york-10?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
24,sC0B5wF4RwrC-FJeE6tREg,LaserAway,Astoria,NY,11103,4.6,123,40.76503,-73.916956,"Medical Spas, Laser Hair Removal, Tattoo Removal",https://www.yelp.com/biz/laseraway-astoria?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
25,1bMEYx0LzK87i4ZF0Wv6lA,Zapped Beauty,Brooklyn,NY,11211,5.0,4,40.70701170176224,-73.95359524603201,"Laser Hair Removal, Skin Care, Tattoo Removal",https://www.yelp.com/biz/zapped-beauty-brooklyn?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
26,YnIJfTfc_5hEI1BjHteY_A,SmarterSkin Dermatology,New York,NY,10007,3.9,30,40.711751,-74.0086662748688,"Dermatologists, Tattoo Removal",https://www.yelp.com/biz/smarterskin-dermatology-new-york-2?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
27,y_lYp_0dAGD9V63UdHGk_A,Aztec Ink,Brooklyn,NY,11220,4.6,42,40.643314,-74.011425,"Tattoo, Piercing, Tattoo Removal",https://www.yelp.com/biz/aztec-ink-brooklyn?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
28,p9pvciU34rMIwi6gyIfudg,Step Up Skin Laser,New York,NY,10016,4.2,391,40.75115,-73.98213,"Laser Hair Removal, Skin Care, Tattoo Removal",https://www.yelp.com/biz/step-up-skin-laser-new-york-2?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
29,oNPsqKuWGBuugU6_j0gNgg,LaserAway,Brooklyn,NY,11217,3.5,15,40.677666,-73.97921,"Tattoo Removal, Medical Spas, Laser Hair Removal",https://www.yelp.com/biz/laseraway-brooklyn-5?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
30,tflD3yQ4H4ShgiUmvseZTA,Laser Goddess,Bayside,NY,11361,4.9,42,40.75952,-73.77345,"Laser Hair Removal, Tattoo Removal, Medical Spas",https://www.yelp.com/biz/laser-goddess-bayside-2?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
31,tIsycJwigiIhcpYMFJq95A,Brooklyn Laser Tattoo Removal,Brooklyn,NY,11235,4.9,8,40.58764,-73.95321,Tattoo Removal,https://www.yelp.com/biz/brooklyn-laser-tattoo-removal-brooklyn-7?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
32,oY9bO6Gw9ubwPhBsgQDIgg,Laser Tattoo Removal NY,New York,NY,10022,4.0,3,40.7636668,-73.9709945,Tattoo Removal,https://www.yelp.com/biz/laser-tattoo-removal-ny-new-york?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
33,o9mBEUdwPNx5yh-9p1Blng,Everblack Tattoo Studio,Brooklyn,NY,11221,5.0,6,40.69673335252994,-73.91421638006867,"Tattoo Removal, Tattoo",https://www.yelp.com/biz/everblack-tattoo-studio-brooklyn?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
34,j4YUXDtMxPgpeZH10533Qg,Century Dermatology 清清皮肤诊所,Brooklyn,NY,11220,4.5,16,40.63918830790832,-74.00966924048005,"Dermatologists, Tattoo Removal, Acne Treatment",https://www.yelp.com/biz/clear-dermatology-brooklyn?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
35,6SFtJxAop3noNRQalTmgMQ,Downtown Medspa,Jersey City,NJ,07302,4.2,39,40.7196363,-74.0439934,"Medical Spas, Tattoo Removal, Laser Hair Removal",https://www.yelp.com/biz/downtown-medspa-jersey-city-3?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
36,k8fA9BXWhWtS7ER-PwgiWA,"Roy Geronemus, MD",New York,NY,10022,3.3,34,40.76314,-73.96881,"Dermatologists, Tattoo Removal, Acne Treatment",https://www.yelp.com/biz/roy-geronemus-md-new-york?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
37,KNMxnXVlh0GAgUmyuvQPrA,The Dermatology Specialists - Bushwick,Brooklyn,NY,11206,2.2,28,40.69718,-73.93442,"Dermatologists, Tattoo Removal, Laser Hair Removal",https://www.yelp.com/biz/the-dermatology-specialists-bushwick-brooklyn?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
