"Time","laser tattoo removal","tattoo removal","remove tattoo"
"2004-01-01",4,20,0
"2004-02-01",6,23,0
"2004-03-01",7,26,0
"2004-04-01",6,28,0
"2004-05-01",9,32,0
"2004-06-01",5,27,0
"2004-07-01",7,35,0
"2004-08-01",6,32,0
"2004-09-01",5,25,0
"2004-10-01",4,21,0
"2004-11-01",4,19,0
"2004-12-01",5,21,0
"2005-01-01",6,23,0
"2005-02-01",5,29,0
"2005-03-01",6,29,3
"2005-04-01",6,29,0
"2005-05-01",6,27,0
"2005-06-01",6,33,0
"2005-07-01",6,30,2
"2005-08-01",7,33,2
"2005-09-01",5,25,0
"2005-10-01",3,22,0
"2005-11-01",3,21,0
"2005-12-01",3,17,0
"2006-01-01",4,24,0
"2006-02-01",5,25,0
"2006-03-01",6,27,2
"2006-04-01",5,31,2
"2006-05-01",6,34,2
"2006-06-01",8,38,2
"2006-07-01",4,37,0
"2006-08-01",6,30,2
"2006-09-01",5,29,3
"2006-10-01",5,26,3
"2006-11-01",5,25,2
"2006-12-01",4,22,0
"2007-01-01",6,29,1
"2007-02-01",7,30,2
"2007-03-01",6,31,2
"2007-04-01",6,35,1
"2007-05-01",6,36,2
"2007-06-01",7,38,3
"2007-07-01",7,37,3
"2007-08-01",7,37,2
"2007-09-01",6,32,3
"2007-10-01",6,28,2
"2007-11-01",4,27,2
"2007-12-01",6,25,2
"2008-01-01",6,29,1
"2008-02-01",7,31,2
"2008-03-01",7,32,2
"2008-04-01",7,31,2
"2008-05-01",6,36,3
"2008-06-01",7,40,3
"2008-07-01",7,44,3
"2008-08-01",8,41,3
"2008-09-01",6,36,3
"2008-10-01",6,32,2
"2008-11-01",6,30,2
"2008-12-01",5,26,2
"2009-01-01",8,35,3
"2009-02-01",8,41,3
"2009-03-01",9,46,3
"2009-04-01",10,44,4
"2009-05-01",8,45,3
"2009-06-01",9,50,5
"2009-07-01",9,48,5
"2009-08-01",9,43,3
"2009-09-01",10,43,4
"2009-10-01",8,34,3
"2009-11-01",7,32,3
"2009-12-01",6,31,3
"2010-01-01",8,38,3
"2010-02-01",9,39,3
"2010-03-01",9,39,4
"2010-04-01",9,42,4
"2010-05-01",10,42,4
"2010-06-01",10,42,5
"2010-07-01",9,43,5
"2010-08-01",9,44,4
"2010-09-01",8,37,4
"2010-10-01",8,37,4
"2010-11-01",7,33,4
"2010-12-01",7,31,4
"2011-01-01",10,41,4
"2011-02-01",9,44,5
"2011-03-01",13,48,5
"2011-04-01",11,45,5
"2011-05-01",11,51,6
"2011-06-01",12,53,7
"2011-07-01",12,53,7
"2011-08-01",11,51,6
"2011-09-01",10,44,5
"2011-10-01",9,39,6
"2011-11-01",9,41,5
"2011-12-01",9,38,5
"2012-01-01",11,50,7
"2012-02-01",13,53,7
"2012-03-01",14,52,7
"2012-04-01",14,53,7
"2012-05-01",14,53,7
"2012-06-01",17,60,8
"2012-07-01",15,58,9
"2012-08-01",14,52,8
"2012-09-01",13,47,7
"2012-10-01",10,41,6
"2012-11-01",10,41,5
